mac:0004.f229.def1----info{'IP': '172.17.4.4', 'product': 'Vlan204', 'time': '2015-02-04'}
mac:3417.ebb1.0cfb----info{'IP': '172.17.101.98', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0024.e891.ec14----info{'IP': '172.17.3.10', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:b8ac.6f3e.a853----info{'IP': '172.17.105.137', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:000c.2935.90fc----info{'IP': '172.17.104.28', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:f8b1.56d0.2320----info{'IP': '172.17.105.163', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:f8b1.569f.37f0----info{'IP': '172.17.105.122', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:7831.c1c5.15d0----info{'IP': '172.17.104.73', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:0c1d.afd3.292e----info{'IP': '172.17.103.201', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:0025.4bb3.9ee6----info{'IP': '172.17.101.112', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0018.0a34.cc56----info{'IP': '172.17.6.24', 'product': 'Vlan203', 'time': '2015-02-04'}
mac:001d.0910.39fc----info{'IP': '172.17.5.100', 'product': 'Vlan205', 'time': '2015-02-04'}
mac:3417.ebd0.bfc7----info{'IP': '172.17.101.208', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0022.1966.accf----info{'IP': '172.17.3.103', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:bc30.5ba2.b128----info{'IP': '172.17.101.129', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.29b9.0bc7----info{'IP': '172.17.101.17', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:f8b1.56d9.111d----info{'IP': '172.17.105.81', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:000c.2964.149a----info{'IP': '172.17.111.191', 'product': 'Vlan226', 'time': '2015-02-04'}
mac:0060.6f4d.3031----info{'IP': '172.17.5.2', 'product': 'Vlan205', 'time': '2015-02-04'}
mac:000c.2915.85e1----info{'IP': '172.17.101.29', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:90b1.1c7a.0b76----info{'IP': '172.17.110.124', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:000c.29a4.8771----info{'IP': '172.17.3.107', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:3417.ebc2.c4e4----info{'IP': '172.17.103.225', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:0023.ae7c.36ac----info{'IP': '172.17.104.75', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:08d0.9f74.17c1----info{'IP': '172.17.1.6', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:d4be.d975.2022----info{'IP': '172.17.104.78', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:5c26.0a24.612e----info{'IP': '172.17.105.54', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:3ca9.f404.7fe8----info{'IP': '172.17.104.53', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:0025.64bb.894d----info{'IP': '172.17.105.175', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:d0c7.89ac.17c1----info{'IP': '172.17.1.13', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:0060.6f6a.506b----info{'IP': '172.17.5.10', 'product': 'Vlan205', 'time': '2015-02-04'}
mac:bc30.5ba7.4177----info{'IP': '172.17.105.90', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:3417.ebc5.247b----info{'IP': '172.17.104.71', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:000c.29d5.53a2----info{'IP': '172.17.111.11', 'product': 'Vlan226', 'time': '2015-02-04'}
mac:90b1.1c9d.40f6----info{'IP': '172.17.103.189', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:787e.61b5.dadf----info{'IP': '172.17.102.61', 'product': 'Vlan214', 'time': '2015-02-04'}
mac:80cf.4163.459b----info{'IP': '172.17.110.106', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:b8ac.6f3e.900a----info{'IP': '172.17.52.3', 'product': 'Vlan207', 'time': '2015-02-04'}
mac:b8ca.3a97.5f86----info{'IP': '172.17.101.110', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:3417.ebd0.bd99----info{'IP': '172.17.101.182', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:f8b1.56d9.108b----info{'IP': '172.17.104.57', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:f01f.af4c.8676----info{'IP': '172.17.101.146', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:3417.ebb1.0972----info{'IP': '172.17.110.79', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:0025.64bb.8a34----info{'IP': '172.17.110.117', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:000c.29c8.a87d----info{'IP': '172.17.101.40', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:9cf3.8707.ab90----info{'IP': '172.17.104.70', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:b8ac.6f2e.7f23----info{'IP': '172.17.101.132', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.291c.301a----info{'IP': '172.17.3.2', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:b8ca.3ac6.a427----info{'IP': '172.17.104.51', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:3417.eba1.cf2f----info{'IP': '172.17.105.73', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:000c.2984.b7b1----info{'IP': '172.17.3.12', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:0021.d7f7.67c1----info{'IP': '172.17.1.4', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:f8b1.56d0.1c84----info{'IP': '172.17.104.98', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:001e.799a.12c1----info{'IP': '172.17.1.3', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:0060.6f4d.0311----info{'IP': '172.17.5.3', 'product': 'Vlan205', 'time': '2015-02-04'}
mac:3417.ebd0.c19b----info{'IP': '172.17.101.159', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:4874.6e7e.d904----info{'IP': '172.17.103.210', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:b8ac.6f2e.8b32----info{'IP': '172.17.101.134', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.29b1.eaaa----info{'IP': '172.17.111.12', 'product': 'Vlan226', 'time': '2015-02-04'}
mac:b8ca.3ac6.a8c5----info{'IP': '172.17.101.120', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.290c.198b----info{'IP': '172.17.101.21', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:3417.ebd1.3237----info{'IP': '172.17.108.92', 'product': 'Vlan223', 'time': '2015-02-04'}
mac:000c.29e0.06c9----info{'IP': '172.17.101.5', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0024.e89a.6417----info{'IP': '172.17.51.77', 'product': 'Vlan206', 'time': '2015-02-04'}
mac:3417.ebd0.be0c----info{'IP': '172.17.104.60', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:d4be.d913.31a0----info{'IP': '172.17.10.111', 'product': 'Vlan220', 'time': '2015-02-04'}
