mac:0023.ae7c.36ac----info['172.17.104.75', '2015-02-10', 'Vlan210', 'agcn1-wkeng80']
mac:08d0.9f74.17c1----info['172.17.1.6', '2015-02-10', 'Vlan218', 'null']
mac:0c27.247b.2041----info['172.17.1.11', '2015-02-10', 'Vlan218', 'null']
mac:5c26.0a24.612e----info['172.17.105.54', '2015-02-10', 'Vlan215', 'agcn1-wkeng31']
mac:3ca9.f404.7fe8----info['172.17.104.53', '2015-02-10', 'Vlan210', 'agcn1-laptop56']
mac:0025.64bb.894d----info['172.17.105.175', '2015-02-10', 'Vlan215', 'agcn1-wkeng100']
mac:d0c7.89ac.17c1----info['172.17.1.13', '2015-02-10', 'Vlan218', 'null']
mac:0060.6f6a.506b----info['172.17.5.10', '2015-02-10', 'Vlan205', 'null']
mac:bc30.5ba7.4177----info['172.17.105.90', '2015-02-10', 'Vlan215', 'agcn1-wkeng138']
mac:3417.ebc5.247b----info['172.17.104.71', '2015-02-10', 'Vlan210', 'agcn1-wkeng289']
mac:000c.29d5.53a2----info['172.17.111.11', '2015-02-10', 'Vlan226', 'null']
mac:90b1.1c9d.40f6----info['172.17.103.189', '2015-02-10', 'Vlan212', 'agcn1-wkeng173']
mac:0021.9b67.fec7----info['172.17.52.51', '2015-02-10', 'Vlan207', 'agcn1-wkadm03']
mac:80cf.4163.459b----info['172.17.110.106', '2015-02-10', 'Vlan225', 'null']
mac:b8ac.6f3e.900a----info['172.17.52.3', '2015-02-10', 'Vlan207', 'agcn1-wkeng121']
mac:b8ca.3a97.5f86----info['172.17.101.110', '2015-02-10', 'Vlan211', 'agcn1-wkeng207']
mac:3417.ebd0.bd99----info['172.17.101.182', '2015-02-10', 'Vlan211', 'agcn1-wkeng306']
mac:f8b1.56d9.108b----info['172.17.104.57', '2015-02-10', 'Vlan210', 'agcn1-wkeng257']
mac:f01f.af4c.8676----info['172.17.101.146', '2015-02-10', 'Vlan211', 'agcn1-laptop64']
mac:3417.ebb1.0972----info['172.17.110.79', '2015-02-10', 'Vlan225', 'agcn1-wkeng269']
mac:0025.64bb.8a34----info['172.17.110.117', '2015-02-10', 'Vlan225', 'agcn1-wkeng116']
mac:000c.29c8.a87d----info['172.17.101.40', '2015-02-10', 'Vlan211', 'null']
mac:9cf3.8707.ab90----info['172.17.104.70', '2015-02-10', 'Vlan210', 'null']
mac:b8ac.6f2e.7f23----info['172.17.101.132', '2015-02-10', 'Vlan211', 'agcn1-wkeng21']
mac:000c.291c.301a----info['172.17.3.2', '2015-02-10', 'Vlan216', 'agcn1-ut01']
mac:3417.eba1.cf2f----info['172.17.105.73', '2015-02-10', 'Vlan215', 'agcn1-wkeng261']
mac:000c.2984.b7b1----info['172.17.3.12', '2015-02-10', 'Vlan216', 'null']
mac:0021.d7f7.67c1----info['172.17.1.4', '2015-02-10', 'Vlan218', 'null']
mac:f8b1.56d0.1c84----info['172.17.104.98', '2015-02-10', 'Vlan210', 'agcn1-wkeng250']
